address,born_chain,born_time,,value
0x3d98a7b7eebfb50089b0068174e3d8dccf793584,born_chain： eth,born_time： 2022-06-24 18：17：36,usd,1637.401642
0x0b3bf4f7ff2fa9b4c7ab3cf0e9b8d368537550a8,born_chain： eth,born_time： 2022-06-24 16：54：40,usd,1605.22084
0x1a7381cf39b48293d3788f4f8ba299fd5dec294f,born_chain： eth,born_time： 2022-06-24 16：37：56,usd,1635.785488
0x18d1bc7232f931534e20d5f2a615cd09064ddd70,born_chain： eth,born_time： 2022-06-24 16：36：26,usd,1530.400114
0x4e2adb4d6422447f94979ad83588a14ba2051b75,born_chain： eth,born_time： 2022-06-24 16：19：56,usd,1614.541924
0x5711f53058a1e9c7630f720bd27f357a3ed875aa,born_chain： eth,born_time： 2022-06-24 16：19：31,usd,1634.919792
0x69e7b7d8d258816ba4371e6abf84d54ddc468d60,born_chain： eth,born_time： 2022-06-24 03：47：13,usd,1629.056443
0x80c42b9734c805a57fd5d3011a04085e05339da3,born_chain： eth,born_time： 2022-06-24 03：13：59,usd,1602.989267
0x5fd8aaf2b22b584df264f8056a69ba4cc61fc100,born_chain： eth,born_time： 2022-06-24 03：11：50,usd,1641.964075
0x89100cf7f69a9fd3d1c12219de774fe999e95269,born_chain： eth,born_time： 2022-06-24 00：47：42,usd,1543.588506
0x72f2b57a01dfb136b462adeddc6105e20f99db07,born_chain： eth,born_time： 2022-06-24 00：47：03,usd,1572.253037
0x08eb64a4e8f74e6bacd190eb107c247c7b7d4c22,born_chain： eth,born_time： 2022-06-24 00：26：57,usd,1597.179971
0x5993fd8b66120c093f1ca55cda4fdb4277f1ee55,born_chain： eth,born_time： 2022-06-23 23：49：38,usd,1648.422944
0x2104ebb92cdedf44a912b34427c837747d2d19df,born_chain： eth,born_time： 2022-06-23 23：16：21,usd,1628.960525
0x76fcb550eb57ae825bb78579beb4839579345e21,born_chain： eth,born_time： 2022-06-23 23：12：27,usd,1587.393338
0x111cf9c0e23482a7cf582501b92a58f83e3611c7,born_chain： eth,born_time： 2022-06-23 23：10：40,usd,1640.869591
0x17772797ec92757d236aa58370b48cb05cb86e0d,born_chain： eth,born_time： 2022-06-23 22：48：19,usd,1617.858709
0x49072a26ec68a8a556e4bb0f9586e71533ee95cf,born_chain： eth,born_time： 2022-06-23 22：45：20,usd,1601.151465
0x0ab9834377c4315db41db7a433a9487d5a29c5af,born_chain： eth,born_time： 2022-06-23 22：32：08,usd,1588.494874
0x7e80e820b7b3fd3d757372dbcd48da2b7582f540,born_chain： eth,born_time： 2022-06-23 22：25：22,usd,1629.335884
0x371fb32860304ed2a1878f8f2caf1465e6c4758c,born_chain： eth,born_time： 2022-06-23 22：09：42,usd,1610.700468
0x1abf56547795d3b686983affb1a3c7e86413a5e6,born_chain： eth,born_time： 2022-06-23 21：33：34,usd,1615.591318
0x66d30e1c0f616961bcd3356ace3b294e1071312f,born_chain： eth,born_time： 2022-06-23 20：52：24,usd,1562.713525
0x4eb0e9ea3f80f5e1a2b0b5f2089c075fcfdb2a07,born_chain： eth,born_time： 2022-06-23 20：47：54,usd,1621.238797
0x5b6a7e77382d2c09111342d55ba2f7d013934845,born_chain： eth,born_time： 2022-06-23 20：47：19,usd,1545.143201
0x5ee897daa8003b6db99dd5653cd67b5037b6e8db,born_chain： eth,born_time： 2022-06-23 20：46：15,usd,1618.837989
0x5b02fd25d6e07153d0579619f67a8bea639d47c4,born_chain： eth,born_time： 2022-06-23 20：42：39,usd,1630.710041
0x160c224663ba0d75f20cc5873a89a771f4444821,born_chain： eth,born_time： 2022-06-23 20：40：31,usd,1564.951517
0x6f0b41bd1e2d79ab228549a44f3b2108599f8522,born_chain： eth,born_time： 2022-06-23 20：17：48,usd,1574.803051
0x5889bff924d84a6cd56c2a2363c58dfbabb51844,born_chain： eth,born_time： 2022-06-23 20：10：14,usd,1559.177259
